current_gpa,target_gpa,ls0,ls1,ls2,ls3,w_Mathematics,w_Physics,w_Chemistry,w_Computer Science,w_English,y_Mathematics,y_Physics,y_Chemistry,y_Computer Science,y_English
6.059970653660494,6.746365707600805,0.0,1.0,0.0,0.0,5.0,1.0,1.0,2.0,4.0,5.951213277745178,1.9626163373230079,1.9448385188997808,3.1025254170578047,5.124753711003279
9.22892868525454,10.195447480414522,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.9090728758801232,2.23224265546724,1.3212723801918391,3.739913220302808,3.9053186396418087
8.025966679962728,8.93815979571092,1.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,5.490878954746599,2.140484700093868,3.3630863931326944,2.1450668067148704,0.9965336486328258
7.292621663083701,7.4773015487162295,0.0,1.0,0.0,0.0,5.0,3.0,0.0,4.0,3.0,5.846619244464722,3.6179210825527512,0.9745365313152461,4.785659773665502,3.8868550269256406
4.858102522433401,5.03720188612317,0.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,5.0,2.7065703574246283,3.8131899271329734,5.546142027426721,1.6311380470190335,5.515510254645223
4.8579698618491145,5.1797791031430105,0.0,0.0,1.0,0.0,5.0,1.0,3.0,4.0,1.0,5.382823174312543,1.8424411460671495,3.7937352301129854,4.887320733599029,2.1132664533449383
4.319459866925097,4.752749538534342,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,2.358393226810761,2.755403391166421,3.8825068075043414,1.8829060765634145,4.685628485005882
8.763968801762143,9.254115499452322,0.0,1.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,0.9771106656708395,4.2366108196886065,3.00274130280515,5.746583381907119,2.1873496141263873
7.3061325645876485,8.121769224787663,1.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,5.0,5.345091646008516,3.99169062671741,5.096727779967168,5.168915961504976,6.4860153290963645
7.894399177878251,7.962415696477253,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,3.1795991647276973,3.6519794295952535,2.0495867856972114,3.0587971432489267,1.9638828731474662
4.113214718626914,4.154821963698193,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,5.0,1.0968220911460582,4.472900911076316,0.9760583621913601,4.917703796257449,5.835751585811563
9.334504186890968,9.804796862423657,0.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,2.0,2.8056368583346676,1.9641229223682963,5.950441886603956,2.1509463444768526,2.9773150739015324
8.578434524402319,9.415030954967895,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0174848801049405,0.9644062802732741,1.4810830772940609,2.172212735607677,2.165080301070442
5.167865108730519,5.399987520278298,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,5.0,2.069712188466503,2.793962640373276,4.249007815583588,1.011029625041749,6.228155676534491
5.000037319639054,5.769842697146556,0.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,2.0,4.895645676605058,3.144331974838448,1.1070085504668743,4.033004121763406,2.7149423352025965
5.008724804193886,5.320518569722245,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,5.7780849037504405,1.302971311772207,2.655314826827209,1.2433038296786405,1.4991756342167832
5.673332336277458,6.736635666853678,0.0,0.0,1.0,0.0,3.0,4.0,3.0,0.0,2.0,4.192964160680322,5.471934147245087,4.422673633443064,1.1536446474175057,3.3200473092339364
6.886160373977308,7.960988307097248,0.0,1.0,0.0,0.0,5.0,3.0,4.0,0.0,5.0,6.059227366446673,4.06022676312562,4.999891901911136,1.1836583447265256,6.487224692359166
