current_gpa,target_gpa,ls0,ls1,ls2,ls3,w_Mathematics,w_Physics,w_Chemistry,w_Computer Science,w_English,y_Mathematics,y_Physics,y_Chemistry,y_Computer Science,y_English
7.52338350951888,7.585870396984404,0.0,0.0,1.0,0.0,3.0,5.0,0.0,4.0,4.0,3.7437562905598902,5.712960135767489,1.0676836676775068,4.571638510256305,4.763329435938661
7.679622855310096,8.271202107859803,0.0,0.0,1.0,0.0,5.0,5.0,3.0,2.0,5.0,5.856742647952511,5.965738591143797,3.7177206866864627,2.7795209735311786,5.856348881640945
6.37790424521841,6.5876483032726,1.0,0.0,0.0,0.0,5.0,2.0,4.0,5.0,4.0,6.127379004659331,3.018986443005312,4.788524616824559,5.767081811408595,4.892274694744309
9.266939064779592,10.178980946943401,0.0,0.0,1.0,0.0,4.0,1.0,5.0,2.0,3.0,5.074785717610361,2.297546347106419,6.32708106656727,2.809705887101362,4.609191014389484
7.484413409184921,8.14306077103604,0.0,0.0,0.0,1.0,2.0,3.0,5.0,3.0,5.0,3.0467133388011973,3.971458689345041,6.012074203698597,3.7519355262429626,5.97045995783876
7.561110927850317,8.53065972158114,0.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,5.0,4.169271725571199,2.0849752718494163,2.0403560273524217,3.9119878097065195,6.132542286067238
7.279484331651291,7.918449421111968,0.0,0.0,0.0,1.0,4.0,1.0,5.0,2.0,1.0,4.8508065621105505,1.8102774753532915,5.987249569664129,2.8639501015945528,2.0277136024366693
7.785508296791304,7.84284593440899,1.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,2.7445691231347986,3.998317983877574,3.926703672750476,1.3556076314976513,3.7318009252230073
9.010099514716133,9.891629475568775,1.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,3.0,5.303902516715633,1.967549385550962,2.9073206141040218,2.9650206223806665,4.290870768550935
7.639777528594012,8.234562233653909,0.0,1.0,0.0,0.0,2.0,5.0,5.0,1.0,1.0,2.864321805960916,5.844140634731472,5.293946636213807,1.930739578049819,1.9439357302212825
